Characteristic,Value
Total participants,"1,700"
"Age, median (IQR), years",53 (43–65)
"Sex assigned at birth, n (%)",
    Female,"1,464 (86.1%)"
    Male,184 (10.8%)
    Other / Not reported,52 (3.1%)
"Race, n (%)",
    White,"1,348 (79.3%)"
    Black / African American,119 (7.0%)
    Asian,20 (1.2%)
    More than one race,113 (6.6%)
    Other,14 (0.8%)
    Not reported,86 (5.1%)
"Ethnicity, n (%)",
    Hispanic / Latino,104 (6.1%)
    Not Hispanic / Latino,"1,566 (92.1%)"
    Not reported,30 (1.8%)
"Menopausal status (women, n=1,464), n (%)",
    Premenopausal,347 (23.7%)
    Perimenopausal,4 (0.3%)
    Likely perimenopausal,219 (15.0%)
    Postmenopausal,856 (58.5%)
    Likely postmenopausal,38 (2.6%)
Migraine events per participant,
    Median (IQR),5 (3–12)
    Range,2–349
Total events across cohort (deduplicated),"21,640"
"Fitbit observation, days per participant",
    Median (IQR),980 (473–1765)
    Range,90–5386
